# Sun Conjecture 4.3(i): (m+n) | pi(m)^2 + pi(n)^2  [A248044]
# Tool: sun_A248044_targeted_v3
# n range: [6000000001, 10000000000]  seg_width: 1000000000
m,pi_m,a_m,pi_am,sum,quotient,ratio_am_m
79613,7799,6035900325,281139125,6035979938,13094677,75815.511600
87934,8537,6123079299,285008714,6123167233,13266005,69632.671083
87935,8537,6123079298,285008714,6123167233,13266005,69631.879206
87940,8537,6123079293,285008714,6123167233,13266005,69627.920093
87941,8537,6123079292,285008714,6123167233,13266005,69627.128325
87942,8537,6123079291,285008714,6123167233,13266005,69626.336574
98681,9473,6799249953,314944039,6799348634,14588125,68901.307780
98682,9473,6799249952,314944039,6799348634,14588125,68900.609554
98683,9473,6799249951,314944039,6799348634,14588125,68899.911342
98684,9473,6799249950,314944039,6799348634,14588125,68899.213145
98685,9473,6799249949,314944039,6799348634,14588125,68898.514962
98686,9473,6799249948,314944039,6799348634,14588125,68897.816793
98687,9473,6799249947,314944039,6799348634,14588125,68897.118638
98688,9473,6799249946,314944039,6799348634,14588125,68896.420497
74071,7307,7772925094,357817984,7772999165,16471597,104938.843731
74072,7307,7772925093,357817984,7772999165,16471597,104937.427003
74073,7307,7772925092,357817984,7772999165,16471597,104936.010314
90320,8746,7321208645,337958693,7321298965,15600521,81058.554528
33127,3551,8316171598,381638732,8316204725,17513773,251039.079844
33128,3551,8316171597,381638732,8316204725,17513773,251031.501962
33129,3551,8316171596,381638732,8316204725,17513773,251023.924537
50839,5207,8133995443,373657817,8134046282,17164909,159995.189579
50840,5207,8133995442,373657817,8134046282,17164909,159992.042526
77829,7649,8499745864,389671378,8499823693,17864345,109210.523892
77830,7649,8499745863,389671378,8499823693,17864345,109209.120686
77831,7649,8499745862,389671378,8499823693,17864345,109207.717516
86098,8369,8808362064,403158581,8808448162,18452381,102306.233176
86099,8369,8808362063,403158581,8808448162,18452381,102305.044925
86100,8369,8808362062,403158581,8808448162,18452381,102303.856702
89335,8651,8698517394,398360647,8698606729,18243290,97369.646768
67829,6757,9486269616,432714371,9486337445,19738042,139855.660794
67830,6757,9486269615,432714371,9486337445,19738042,139853.598924
83921,8185,9250128236,422429141,9250212157,19291058,110224.237509
83922,8185,9250128235,422429141,9250212157,19291058,110222.924084
83923,8185,9250128234,422429141,9250212157,19291058,110221.610691
83924,8185,9250128233,422429141,9250212157,19291058,110220.297329
